num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1891	2705.524051	56.075400	0.379509	0.570831	49.532390
1893	2707.594063	54.912666	0.376555	0.567866	48.086408
1895	2709.660962	53.898208	0.388128	0.569825	47.114369
1897	2711.725765	53.134004	0.409668	0.572272	44.760661
1899	2713.791093	52.281359	0.366832	0.574823	42.319141
1901	2715.858624	51.289025	0.366317	0.575885	40.836603
1903	2717.928923	50.240857	0.321682	0.576141	40.268043
1905	2719.998939	49.451997	0.303984	0.578396	38.254770
1907	2722.069694	48.533439	0.282330	0.580628	37.622175
1909	2724.138940	47.797040	0.265622	0.581725	36.536409
1911	2726.203889	47.399561	0.224763	0.578896	35.278099
1913	2728.267030	46.576929	0.204677	0.574755	33.080003
1915	2730.326655	45.564545	0.219074	0.571612	29.751995
1917	2732.391279	44.755087	0.215061	0.570239	31.180682
1919	2734.456340	43.773966	0.226585	0.570485	30.908672
1921	2736.522985	43.088422	0.216620	0.571100	29.364478
1923	2738.589935	42.180575	0.193038	0.573509	28.106089
1925	2740.657358	41.536896	0.189819	0.575800	26.785281
1927	2742.725190	40.835809	0.166460	0.576134	26.432479
1929	2744.792980	40.105942	0.177967	0.576874	25.710129
1931	2746.863175	39.339594	0.140428	0.577029	25.283262
1933	2748.935301	38.582321	0.121479	0.574297	23.610174
1935	2751.010018	37.875655	0.097051	0.571174	23.063177
1937	2753.082595	37.225449	0.100857	0.566999	21.973861
1939	2755.154006	36.675971	0.094059	0.565818	21.420350
1941	2757.224278	36.094533	0.125624	0.565402	21.163371
1943	2759.289478	35.439143	0.104856	0.567188	19.803544
1945	2761.356068	34.666758	0.076713	0.567977	19.441822
1947	2763.423791	33.985795	0.045991	0.569244	19.021386
1949	2765.492214	33.530681	0.050119	0.572364	18.178269
1951	2767.561614	32.847021	0.060464	0.572613	17.326077
1953	2769.629927	32.350708	0.047566	0.575530	16.589790
1955	2771.697604	31.834983	0.022194	0.575901	16.261253
1957	2773.761922	31.360253	-0.004127	0.574232	15.263650
1959	2775.823712	30.830603	0.000991	0.569217	14.882801
1961	2777.885444	30.323876	-0.002642	0.565680	14.765227
1963	2779.947762	29.747612	0.002820	0.565345	13.836205
1965	2782.011464	29.013153	0.020093	0.566188	13.343884
1967	2784.077638	28.415533	0.005083	0.565029	12.796759
1969	2786.145847	27.768478	0.008057	0.565910	12.307176
1971	2788.212563	27.279182	0.002158	0.568053	11.794177
1973	2790.284333	26.893107	-0.006103	0.569964	12.252192
1975	2792.354182	26.317980	-0.017357	0.568302	11.150253
1977	2794.426435	25.799273	-0.035964	0.567938	10.548020
1979	2796.500114	25.239059	-0.045818	0.563825	10.229193
1981	2798.574045	24.705818	-0.049551	0.559981	10.163283
1983	2800.646685	24.285275	-0.052135	0.554464	9.648188
1985	2802.720257	24.093483	-0.054900	0.552808	8.676115
1987	2804.788254	23.322165	-0.055974	0.550302	9.333048
1989	2806.855126	23.080850	-0.048496	0.557115	8.597832
1991	2808.922476	22.764377	-0.052612	0.558692	7.469958
1993	2810.989676	22.166128	-0.064252	0.562805	8.512840
1995	2813.056954	21.933862	-0.089542	0.564171	7.549325
1997	2815.129065	21.418321	-0.076892	0.566881	7.494225
1999	2817.194738	21.004297	-0.090255	0.567489	7.406733
2001	2819.263251	20.623615	-0.112670	0.566923	6.939933
2003	2821.325565	20.325218	-0.107785	0.565450	7.088016
2005	2823.383877	20.050520	-0.111636	0.560690	6.067549
2009	2827.503663	19.203443	-0.104553	0.557579	5.548945
2011	2829.570664	18.705049	-0.097713	0.555964	5.580368
2013	2831.635126	18.396769	-0.104844	0.556060	5.714073
